fitnessId,exercise,weight130,weight155,weight180,weight205,calories,createdAt,updatedAt
174,"Walking 4.5 mph",372,443,515,586,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
175,"Walking 5.0 mph",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
176,"Boating power speed boat",148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
177,"Canoeing camping trip",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
178,"Canoeing rowing light",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
179,"Canoeing rowing moderate",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
180,"Canoeing rowing vigorous",708,844,981,1117,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
181,"Crew sculling rowing competition",708,844,981,1117,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
182,Kayaking,295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
183,"Paddle boat",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
184,"Windsurfing sailing",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
185,"Sailing competition",295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
186,"Sailing yachting ocean sailing",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
187,"Skiing water skiing",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
188,"Ski mobiling",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
189,"Skin diving fast",944,1126,1308,1489,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
190,"Skin diving moderate",738,880,1022,1163,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
191,"Skin diving scuba diving",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
192,Snorkeling,295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
193,"Surfing body surfing or board surfing",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
194,"Whitewater rafting kayaking canoeing",295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
195,"Swimming laps freestyle fast",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
196,"Swimming laps freestyle slow",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
197,"Swimming backstroke",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
198,"Swimming breaststroke",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
199,"Swimming butterfly",649,774,899,1024,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
200,"Swimming leisurely not laps",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
201,"Swimming sidestroke",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
202,"Swimming synchronized",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
203,"Swimming treading water fast vigorous",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
204,"Swimming treading water moderate",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
205,"Water aerobics water calisthenics",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
206,"Water polo",590,704,817,931,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
207,"Water volleyball",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
208,"Water jogging",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
209,"Diving springboard or platform",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
210,"Ice skating < 9 mph",325,387,449,512,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
211,"Ice skating average speed",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
212,"Ice skating rapidly",531,633,735,838,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
213,"Speed skating ice competitive",885,1056,1226,1396,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
214,"Cross country snow skiing slow",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
215,"Cross country skiing moderate",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
216,"Cross country skiing vigorous",531,633,735,838,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
217,"Cross country skiing racing",826,985,1144,1303,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
218,"Cross country skiing uphill",974,1161,1348,1536,3,"2020-11-05 00:37:47","2020-11-05 00:37:47"
219,"Snow skiing downhill skiing light",295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
220,"Downhill snow skiing moderate",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
221,"Downhill snow skiing racing",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
222,"Sledding tobagganing luge",413,493,572,651,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
223,"Snow shoeing",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
224,Snowmobiling,207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
225,"General housework",207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
226,"Cleaning gutters",295,352,409,465,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
227,Painting,266,317,368,419,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
228,"Sit playing with animals",148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
229,"Walk/run playing with animals",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
230,"Bathing dog",207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
231,"Mowing lawn walk power mower",325,387,449,512,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
232,"Mowing lawn riding mower",148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
233,"Walking snow blower",207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
234,"Riding snow blower",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
235,"Shoveling snow by hand",354,422,490,558,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
236,"Raking lawn",254,303,351,400,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
237,"Gardening general",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
238,"Bagging grass leaves",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
239,"Watering lawn or garden",89,106,123,140,0,"2020-11-05 00:37:47","2020-11-05 00:37:47"
240,"Weeding cultivating garden",266,317,368,419,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
241,"Carpentry general",207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
242,"Carrying heavy loads",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
243,"Carrying moderate loads upstairs",472,563,654,745,2,"2020-11-05 00:37:47","2020-11-05 00:37:47"
244,"General cleaning",207,246,286,326,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
245,"Cleaning dusting",148,176,204,233,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
246,"Taking out trash",177,211,245,279,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
247,"Walking pushing a wheelchair",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
248,"Teach physical education exercise class",236,281,327,372,1,"2020-11-05 00:37:47","2020-11-05 00:37:47"
